Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
1,"Ja'Marr Chase","CIN","WR",1,10,1.5,333.68,59
2,"Bijan Robinson","ATL","RB",1,5,3,314.71,57
3,"Jahmyr Gibbs","DET","RB",2,8,5.3,313.88,55
4,"Justin Jefferson","MIN","WR",2,6,4.8,299.63,56
5,"Puka Nacua","LAR","WR",3,8,10.2,290.08,45
6,"Nico Collins","HOU","WR",4,6,15.5,273.72,40
7,"CeeDee Lamb","DAL","WR",5,10,6.9,272.65,54
8,"Saquon Barkley","PHI","RB",3,9,3.6,292.79,56
9,"Christian McCaffrey","SF","RB",4,14,8,280.91,43
10,"Brian Thomas Jr.","JAX","WR",6,8,18.8,272.37,41
11,"Malik Nabers","NYG","WR",7,14,11.8,267.78,44
12,"Ashton Jeanty","LV","RB",5,8,12.8,274.55,44
13,"Amon-Ra St. Brown","DET","WR",8,8,10.4,266.21,42
14,"Bucky Irving","TB","RB",6,9,24.6,274.53,38
15,"Drake London","ATL","WR",9,5,22,258.34,41
16,"A.J. Brown","PHI","WR",10,9,19.1,257.06,34
17,"De'Von Achane","MIA","RB",7,12,15.9,269.39,38
18,"Trey McBride","ARI","TE",1,8,26.5,241.1,25
19,"Derrick Henry","BAL","RB",8,7,15.3,265.68,43
20,"Chase Brown","CIN","RB",9,10,27.3,250.27,35
21,"Tee Higgins","CIN","WR",11,10,28.1,252.85,33
22,"Josh Jacobs","GB","RB",10,5,20,249.59,36
23,"Jayden Daniels","WAS","QB",1,12,28.5,342.69,21
24,"Kyren Williams","LAR","RB",11,8,31.9,227,29
25,"George Kittle","SF","TE",2,14,36.3,221.71,16
26,"Josh Allen","BUF","QB",2,7,20.9,321.64,21
27,"Lamar Jackson","BAL","QB",3,7,22.8,320.08,24
28,"Garrett Wilson","NYJ","WR",12,9,45.5,249.87,34
29,"Kenneth Walker III","SEA","RB",12,8,42.6,226.22,21
30,"Jalen Hurts","PHI","QB",4,9,29.7,318.12,17
31,"Brock Bowers","LV","TE",3,8,20.9,220.56,32
32,"Ladd McConkey","LAC","WR",13,12,30.9,241.6,37
33,"Jonathan Taylor","IND","RB",13,11,19,213.87,34
34,"Marvin Harrison Jr.","ARI","WR",14,8,50.6,235.28,27
35,"Omarion Hampton","LAC","RB",14,12,43.8,221.67,17
36,"RJ Harvey","DEN","RB",15,12,86.7,219.45,23
37,"Terry McLaurin","WAS","WR",15,12,41.3,233.86,31
38,"Davante Adams","LAR","WR",16,8,35.8,223.84,25
39,"James Cook","BUF","RB",16,7,33.3,219.46,23
40,"Travis Hunter","JAX","WR",17,8,null,221.99,7
41,"Mike Evans","TB","WR",18,9,46.2,229.32,24
42,"Alvin Kamara","NO","RB",17,11,42.9,213.84,18
43,"DJ Moore","CHI","WR",19,5,61.5,221.11,24
44,"Jaxon Smith-Njigba","SEA","WR",20,8,39.1,220.23,31
45,"Tyreek Hill","MIA","WR",21,12,30.9,218.64,32
46,"Joe Burrow","CIN","QB",5,10,33.9,303.9,16
47,"Jameson Williams","DET","WR",22,8,77.3,216.11,22
48,"Tetairoa McMillan","CAR","WR",23,14,83.3,215.54,18
49,"Xavier Worthy","KC","WR",24,10,52,210.92,23
50,"D'Andre Swift","CHI","RB",18,5,62.9,203.8,8
51,"DeVonta Smith","PHI","WR",25,9,70.9,213.42,25
52,"Rashee Rice","KC","WR",26,10,67.4,222.09,28
53,"D.K. Metcalf","PIT","WR",27,5,50.7,208.96,24
54,"James Conner","ARI","RB",19,8,53.5,203.6,12
55,"Zay Flowers","BAL","WR",28,7,62.4,205.12,19
56,"Jaylen Waddle","MIA","WR",29,12,76.4,202.93,16
57,"Chuba Hubbard","CAR","RB",20,14,49,202.23,23
58,"T.J. Hockenson","MIN","TE",4,6,61.9,187.31,8
59,"Patrick Mahomes","KC","QB",6,10,49.6,283.99,10
60,"Courtland Sutton","DEN","WR",30,12,67.3,199.36,19
61,"Chris Olave","NO","WR",31,11,100.2,209.61,12
62,"Emeka Egbuka","TB","WR",32,9,null,188.3,3
63,"George Pickens","DAL","WR",33,10,76.3,199.36,18
64,"Rome Odunze","CHI","WR",34,5,88,197.56,8
65,"Sam LaPorta","DET","TE",5,8,51.6,179.93,10
66,"Calvin Ridley","TEN","WR",35,10,71,196.6,16
67,"Ricky Pearsall","SF","WR",36,14,null,179.67,12
68,"Deebo Samuel","WAS","WR",37,12,108.1,194.85,10
69,"Jakobi Meyers","LV","WR",38,8,95.5,193.89,7
70,"Josh Downs","IND","WR",39,11,null,188.66,5
71,"Jauan Jennings","SF","WR",40,14,111.4,169.76,13
72,"Stefon Diggs","NE","WR",41,14,97.4,196.25,6
73,"Jerry Jeudy","CLE","WR",42,9,76.9,193.29,19
